Americans	http://dbpedia.org/resource/Americans
Facebook	http://dbpedia.org/resource/Facebook
155	http://dbpedia.org/resource/155_(number)
million	http://dbpedia.org/resource/Million
Americans	http://dbpedia.org/resource/Americans
University of Ulster	http://dbpedia.org/resource/University_of_Ulster
2	http://dbpedia.org/resource/2_(number)
Capricorns	http://dbpedia.org/resource/Capricorn_(astrology)
Taurus	http://dbpedia.org/resource/Taurus_(astrology)
Virgo	http://dbpedia.org/resource/Virgo_(astrology)
Shakespeare	http://dbpedia.org/resource/William_Shakespeare
NASA	http://dbpedia.org/resource/NASA
mars rover	http://dbpedia.org/resource/Mars_rover
MSL	http://dbpedia.org/resource/Mars_Science_Laboratory
3	http://dbpedia.org/resource/3_(number)
24	http://dbpedia.org/resource/24_(number)
Indiana State Fair stage collapse	http://dbpedia.org/resource/Indiana_State_Fair_stage_collapse
Indianapolis Department of Public Safety	http://dbpedia.org/resource/Indianapolis_Metropolitan_Police_Department
S&P	http://dbpedia.org/resource/Standard_&_Poor's
United States	http://dbpedia.org/resource/United_States
12	http://dbpedia.org/resource/12_(number)
Iraqi	http://dbpedia.org/resource/Iraqi_people
ENOC	http://dbpedia.org/resource/Emirates_National_Oil_Company
Virginia Tech	http://dbpedia.org/resource/Virginia_Tech
Dietrick dining hall	http://dbpedia.org/resource/Campus_of_Virginia_Tech
Leo	http://dbpedia.org/resource/Leo_(astrology)
Congressman Bill Johnson	http://dbpedia.org/resource/Bill_Johnson_(Ohio_politician)
Twitter	http://dbpedia.org/resource/Twitter
United	http://dbpedia.org/resource/Manchester_United_F.C.
2	http://dbpedia.org/resource/2_(number)
WBA	http://dbpedia.org/resource/West_Bromwich_Albion_F.C.
1	http://dbpedia.org/resource/1_(number)
God	http://dbpedia.org/resource/God
56	http://dbpedia.org/resource/56_(number)
Americans	http://dbpedia.org/resource/Americans
Reuters	http://dbpedia.org/resource/Reuters
IPSOS	http://dbpedia.org/resource/Ipsos
Met Police	http://dbpedia.org/resource/Metropolitan_Police_Service
Amy Winehouse	http://dbpedia.org/resource/Amy_Winehouse
one	http://dbpedia.org/resource/1_(number)
Aquarius	http://dbpedia.org/resource/Aquarius_(astrology)
Cornel West	http://dbpedia.org/resource/Cornel_West
Tavis Smiley	http://dbpedia.org/resource/Tavis_Smiley
Debt Ceiling Agreement	http://dbpedia.org/resource/United_States_debt_ceiling
Microsoft	http://dbpedia.org/resource/Microsoft
Liverpool	http://dbpedia.org/resource/Liverpool
Steven Gerrard	http://dbpedia.org/resource/Steven_Gerrard
two	http://dbpedia.org/resource/2_(number)
soccer	http://dbpedia.org/resource/Association_football
football	http://dbpedia.org/resource/Association_football
singapore	http://dbpedia.org/resource/Singapore
Football	http://dbpedia.org/resource/Football
PSG	http://dbpedia.org/resource/Paris_Saint-Germain_F.C.
PARIS	http://dbpedia.org/resource/Paris
Saint-Germain	http://dbpedia.org/resource/Paris_Saint-Germain_F.C.
BBC news	http://dbpedia.org/resource/BBC_News_(TV_channel)
David Cameron	http://dbpedia.org/resource/David_Cameron
1027KIISFM	http://dbpedia.org/resource/KIIS-FM
Sirius XM	http://dbpedia.org/resource/Sirius_XM_Radio
11	http://dbpedia.org/resource/11_(number)
10	http://dbpedia.org/resource/10_(number)
euro	http://dbpedia.org/resource/Euro
John Clayton	http://dbpedia.org/resource/John_Clayton_(sportswriter)
Players	http://dbpedia.org/resource/Player_(game)
DC	http://dbpedia.org/resource/Washington,_D.C.
Cardinals	http://dbpedia.org/resource/Arizona_Cardinals
Eagles	http://dbpedia.org/resource/Philadelphia_Eagles
QB Kevin Kolb	http://dbpedia.org/resource/Kevin_Kolb
USMNT	http://dbpedia.org/resource/United_States_men's_national_soccer_team
Jurgen Klinsmann	http://dbpedia.org/resource/J%C3%BCrgen_Klinsmann
MeaganGood	http://dbpedia.org/resource/Meagan_Good
Aristotle	http://dbpedia.org/resource/Aristotle
Rupert Murdoch	http://dbpedia.org/resource/Rupert_Murdoch
British	http://dbpedia.org/resource/British_people
Aden, Yemen	http://dbpedia.org/resource/Aden
Wathamstow	http://dbpedia.org/resource/Walthamstow
PalmersGreen	http://dbpedia.org/resource/Palmers_Green
Enfield	http://dbpedia.org/resource/London_Borough_of_Enfield
PondersEnd	http://dbpedia.org/resource/Ponders_End
Earlsfield	http://dbpedia.org/resource/Earlsfield
Westfield	http://dbpedia.org/resource/Westfield_London
LondonRiots	http://dbpedia.org/resource/2011_England_riots
9	http://dbpedia.org/resource/9_(number)
Norway	http://dbpedia.org/resource/Norway
Japan	http://dbpedia.org/resource/Japan
J.K. Rowling	http://dbpedia.org/resource/J._K._Rowling
Mubarak	http://dbpedia.org/resource/Hosni_Mubarak
Cairo	http://dbpedia.org/resource/Cairo
Egypt	http://dbpedia.org/resource/Egypt
two	http://dbpedia.org/resource/2_(number)
Alaa	http://dbpedia.org/resource/Alaa_Mubarak
Gamal	http://dbpedia.org/resource/Gamal_Mubarak
Foxconn	http://dbpedia.org/resource/Foxconn
1 million	http://dbpedia.org/resource/Million
Washington	http://dbpedia.org/resource/Federal_government_of_the_United_States
Somalia	http://dbpedia.org/resource/Somalia
US	http://dbpedia.org/resource/United_States
Transitional Federal Government	http://dbpedia.org/resource/Transitional_Federal_Government
TFG	http://dbpedia.org/resource/Transitional_Federal_Government
Chief Constable	http://dbpedia.org/resource/Chief_constable
Cleveland Police	http://dbpedia.org/resource/Cleveland_Police
The Sun	http://dbpedia.org/resource/The_Sun_(United_Kingdom)
www.thesun.co.uk	http://dbpedia.org/resource/The_Sun_(United_Kingdom)
NewsInt	http://dbpedia.org/resource/NI_Group
Rupert Murdoch	http://dbpedia.org/resource/Rupert_Murdoch
Apple	http://dbpedia.org/resource/Apple_Inc.
iPhone 5	http://dbpedia.org/resource/IPhone_5
September 7	http://dbpedia.org/resource/September_7
Apple	http://dbpedia.org/resource/Apple_Inc.
fall	http://dbpedia.org/resource/Autumn
iPods	http://dbpedia.org/resource/IPod
BreakingNews	http://dbpedia.org/resource/Breaking_news
RickPerry	http://dbpedia.org/resource/Rick_Perry
FoxNews	http://dbpedia.org/resource/Fox_News_Channel
Texas	http://dbpedia.org/resource/Texas
GOP	http://dbpedia.org/resource/Republican_Party_(United_States)
GovernorPerry	http://dbpedia.org/resource/Rick_Perry
Just the way you  are	http://dbpedia.org/resource/Just_the_Way_You_Are_(Bruno_Mars_song)
Bruno Mars	http://dbpedia.org/resource/Bruno_Mars
Northumbria Police	http://dbpedia.org/resource/Northumbria_Police
horses	http://dbpedia.org/resource/Horse
Northumberland Street	http://dbpedia.org/resource/Northumberland_Street
Newcastle	http://dbpedia.org/resource/Newcastle_upon_Tyne
Twitpic	http://dbpedia.org/resource/TwitPic
twitter	http://dbpedia.org/resource/Twitter
MP	http://dbpedia.org/resource/Member_of_Parliament
death penalty	http://dbpedia.org/resource/Capital_punishment
Apple	http://dbpedia.org/resource/Apple_Inc.
Exxon Mobil	http://dbpedia.org/resource/ExxonMobil
U.S.	http://dbpedia.org/resource/United_States
AAPL	http://dbpedia.org/resource/Apple_Inc.
Murdoch	http://dbpedia.org/resource/Rupert_Murdoch
Wendi	http://dbpedia.org/resource/Wendi_Deng_Murdoch
JoePa	http://dbpedia.org/resource/Joe_Paterno
Devon Smith	http://dbpedia.org/resource/Devon_Smith_(footballer)
5	http://dbpedia.org/resource/5_(number)
7	http://dbpedia.org/resource/7_(number)
157	http://dbpedia.org/resource/157_(number)
Alex Oxlade Chamberlain	http://dbpedia.org/resource/Alex_Oxlade-Chamberlain
Oprah_World	http://dbpedia.org/resource/Oprah_Winfrey
Oprah	http://dbpedia.org/resource/Oprah_Winfrey
Hackney	http://dbpedia.org/resource/London_Borough_of_Hackney
102	http://dbpedia.org/resource/102_(number)
1	http://dbpedia.org/resource/1_(number)
DC	http://dbpedia.org/resource/Washington,_D.C.
99	http://dbpedia.org/resource/99_(number)
Demi	http://dbpedia.org/resource/Demi_Lovato
Tuesday	http://dbpedia.org/resource/Tuesday
September 20th	http://dbpedia.org/resource/September_20
2011	http://dbpedia.org/resource/2011
Croydon	http://dbpedia.org/resource/Croydon
Londonriots	http://dbpedia.org/resource/2011_England_riots
Peter Dinklage	http://dbpedia.org/resource/Peter_Dinklage
emmy nomination	http://dbpedia.org/resource/Emmy_Award
Game of Thrones	http://dbpedia.org/resource/Game_of_Thrones
Tendulkar	http://dbpedia.org/resource/Sachin_Tendulkar
Epictetus	http://dbpedia.org/resource/Epictetus
Justin	http://dbpedia.org/resource/Justin_Bieber
Scooter	http://dbpedia.org/resource/Scooter_Braun
Justin	http://dbpedia.org/resource/Justin_Bieber
Al Jazeera English	http://dbpedia.org/resource/Al_Jazeera_English
US screens	http://dbpedia.org/resource/Television_in_the_United_States
New York	http://dbpedia.org/resource/New_York
September 19	http://dbpedia.org/resource/September_19
2011	http://dbpedia.org/resource/2011
US	http://dbpedia.org/resource/United_States
Wall Street	http://dbpedia.org/resource/Wall_Street
OCCUPYWALLSTREET	http://dbpedia.org/resource/Occupy_Wall_Street
45	http://dbpedia.org/resource/45_(number)
BTC	http://dbpedia.org/resource/Bitcoin
123	http://dbpedia.org/resource/123_(number)
U.S.	http://dbpedia.org/resource/United_States
China	http://dbpedia.org/resource/China
China's population	http://dbpedia.org/resource/Demographics_of_China
U.S.	http://dbpedia.org/resource/Demographics_of_the_United_States
Miami Heat	http://dbpedia.org/resource/Miami_Heat
Erik Spoelstra	http://dbpedia.org/resource/Erik_Spoelstra
Manila	http://dbpedia.org/resource/Manila
Obama	http://dbpedia.org/resource/Barack_Obama
1	http://dbpedia.org/resource/1_(number)
EDT	http://dbpedia.org/resource/Eastern_Time_Zone
NBC News	http://dbpedia.org/resource/NBC_News
Ellison	http://dbpedia.org/resource/Keith_Ellison
CNN	http://dbpedia.org/resource/CNN
American	http://dbpedia.org/resource/Americans
Senate	http://dbpedia.org/resource/United_States_Senate
Reid	http://dbpedia.org/resource/Harry_Reid
75	http://dbpedia.org/resource/75_(number)
Gemini	http://dbpedia.org/resource/Gemini_(astrology)
Gemini	http://dbpedia.org/resource/Gemini_(astrology)
Droid 3	http://dbpedia.org/resource/Droid_3
iFixit	http://dbpedia.org/resource/IFixit
Aries	http://dbpedia.org/resource/Aries_(astrology)
the apprentice	http://dbpedia.org/resource/The_Apprentice_(UK_TV_series)
UK police	http://dbpedia.org/resource/Law_enforcement_in_the_United_Kingdom
London	http://dbpedia.org/resource/London
riots	http://dbpedia.org/resource/2011_England_riots
AP	http://dbpedia.org/resource/Associated_Press
Doctor Who	http://dbpedia.org/resource/Doctor_Who
summer	http://dbpedia.org/resource/Summer
autumn	http://dbpedia.org/resource/Autumn
U.S. Senate	http://dbpedia.org/resource/United_States_Senate
Friday	http://dbpedia.org/resource/Friday
Georgia	http://dbpedia.org/resource/Georgia_(country)
100	http://dbpedia.org/resource/100_(number)
Microsoft	http://dbpedia.org/resource/Microsoft
Sony	http://dbpedia.org/resource/Sony
Android Honeycomb	http://dbpedia.org/resource/Android_(operating_system)
Sony	http://dbpedia.org/resource/Sony
Leeds	http://dbpedia.org/resource/Leeds
Chapeltown	http://dbpedia.org/resource/Chapeltown,_Leeds
ISAF	http://dbpedia.org/resource/International_Security_Assistance_Force
Afghan	http://dbpedia.org/resource/Afghan
NATO	http://dbpedia.org/resource/NATO
Afghanistan	http://dbpedia.org/resource/Afghanistan
Hindus	http://dbpedia.org/resource/Hindu
google	http://dbpedia.org/resource/Google
google plus	http://dbpedia.org/resource/Google+
NATO	http://dbpedia.org/resource/NATO
Zliten	http://dbpedia.org/resource/Zliten
Obama	http://dbpedia.org/resource/Barack_Obama
40	http://dbpedia.org/resource/40_(number)
christopher wallace	http://dbpedia.org/resource/The_Notorious_B.I.G.
4	http://dbpedia.org/resource/4_(number)
Bundy	http://dbpedia.org/resource/Ted_Bundy
Ted Bundy	http://dbpedia.org/resource/Ted_Bundy
30	http://dbpedia.org/resource/30_(number)
100000	http://dbpedia.org/resource/100000_(number)
Jeju island	http://dbpedia.org/resource/Jeju_Province
Gerber Baby	http://dbpedia.org/resource/Gerber_Baby
